"","State","Date","Deaths","Confirmed","Recovered","Active","Population","Deaths.per.capita","Confirmed.per.capita","Active.per.capita","Name"
"98","Alabama",2020-04-27,228,6539,0,6311,4903185,4.65003869933523e-05,0.00133362294100671,0.00128712255401336,"Alabama"
"99","Alabama",2020-07-10,1104,50508,0,49404,4903185,0.00022515976859939,0.0103010594134221,0.0100758996448227,"Alabama"
"100","Alabama",2020-05-04,298,8112,0,7814,4903185,6.07768215965745e-05,0.00165443482144769,0.00159365799985112,"Alabama"
"101","Alabama",2020-06-17,790,27312,0,26522,4903185,0.00016111976195065,0.00557025688404578,0.00540913712209513,"Alabama"
"102","Alabama",2020-04-11,92,3217,0,3125,4903185,1.87633140499492e-05,0.00065610414455094,0.000637340830500991,"Alabama"
"103","Alabama",2020-03-17,0,39,0,39,4903185,0,7.95401356465236e-06,7.95401356465236e-06,"Alabama"
"104","Alabama",2020-05-25,566,14986,0,14420,4903185,0.000115435171220339,0.00305638069948411,0.00294094552826377,"Alabama"
"105","Alabama",2020-07-08,1058,46962,0,45904,4903185,0.000215778111574415,0.00957785602623601,0.00936207791466159,"Alabama"
"106","Alabama",2020-06-15,774,26272,0,25498,4903185,0.000157856576898485,0.00535814985565505,0.00520029327875656,"Alabama"
"107","Alabama",2020-04-09,70,2703,0,2633,4903185,1.42764346032222e-05,0.000551274324750137,0.000536997890146915,"Alabama"
"108","Alabama",2020-04-16,133,4345,0,4212,4903185,2.71252257461222e-05,0.000886158690728577,0.000859033464982455,"Alabama"
"109","Alabama",2020-05-23,549,14117,0,13568,4903185,0.000111968037102414,0.0028791489613384,0.00276718092423598,"Alabama"
"110","Alabama",2020-07-06,1007,44878,0,43871,4903185,0.000205376709220639,0.00915282617319151,0.00894744946397087,"Alabama"
"111","Alabama",2020-04-30,272,7088,0,6816,4903185,5.54741458868062e-05,0.00144559097810913,0.00139011683222232,"Alabama"
"112","Alabama",2020-04-07,64,2169,0,2105,4903185,1.30527402086603e-05,0.000442365523634128,0.000429312783425467,"Alabama"
"113","Alabama",2020-06-13,773,24601,0,23828,4903185,0.000157652627832725,0.00501735096676956,0.00485969833893683,"Alabama"
"114","Alabama",2020-03-15,0,12,0,12,4903185,0,2.4473887891238e-06,2.4473887891238e-06,"Alabama"
"115","Alabama",2020-07-04,1007,42862,0,41855,4903185,0.000205376709220639,0.00874166485661871,0.00853628814739807,"Alabama"
"116","Alabama",2020-04-28,242,6750,0,6508,4903185,4.93556739139967e-05,0.00137665619388214,0.00132730051996814,"Alabama"
"117","Alabama",2020-03-27,4,587,0,583,4903185,8.15796263041268e-07,0.000119718101601306,0.000118902305338265,"Alabama"
"118","Alabama",2020-04-05,45,1765,0,1720,4903185,9.17770795921427e-06,0.00035997010106696,0.000350792393107745,"Alabama"
"119","Alabama",2020-04-19,157,4888,0,4731,4903185,3.20200033243698e-05,0.00099690303343643,0.00096488303011206,"Alabama"
